Пол,Фамилия,Имя,Отчество
1,Запольских,Виталий,Эдуардович
1,Старовойт,Виктор,Дамирович
1,Мухамеджанов,Юрий,Романович
1,Безносенко,Тимур,Семенович
1,Лабинцев,Георгий,Валерьевич
1,Осадчих,Егор,Кириллович
1,Хусейнов,Василий,Кириллович
1,Беленок,Алексей,Ринатович
1,Агапитов,Вячеслав,Ильич
1,Думчев,Дамир,Витальевич
1,Неверов,Глеб,Ефимович
1,Лавринец,Альберт,Олегович
1,Шелихов,Леонид,Михаилович
1,Прудников,Павел,Ильич
1,Корогодский,Борис,Сергеевич
1,Порубов,Артем,Владиславович
1,Благодаров,Филипп,Иванович
1,Смекалкин,Альберт,Игоревич
1,Крупский,Анатолий,Романович
1,Ковтуненко,Дамир,Борисович
1,Букрей,Федор,Игоревич
1,Свердлов,Григорий,Ильич
1,Завесин,Валерий,Аркадьевич
1,Шутко,Семен,Романович
1,Малин,Виктор,Филиппович
1,Евтихьев,Сергей,Альбертович
1,Пистов,Ян,Юрьевич
1,Архангелов,Олег,Ярославович
1,Оппоков,Артем,Анатольевич
1,Жиляков,Андрей,Дмитриевич
1,Ляпкин,Владислав,Германович
1,Тютюник,Эдуард,Олегович
1,Маршаков,Владислав,Степанович
1,Плохово,Виталий,Николаевич
1,Исаченко,Радик,Тимурович
1,Гужавин,Альберт,Радикович
1,Евстафьев,Михаил,Петрович
1,Горлохватов,Павел,Дамирович
1,Горбышев,Владимир,Иванович
1,Еремчук,Максим,Константинович
1,Трифонов,Андрей,Семенович
1,Астафичев,Альберт,Рамилевич
1,Тонкошеев,Кирилл,Александрович
1,Полюшкин,Артур,Витальевич
1,Городзенский,Игорь,Яковлев
1,Боков,Роман,Александрович
1,Мокров,Антон,Никитович
1,Петрянов,Григорий,Германович
1,Никитов,Михаил,Максимович
1,Косачев,Юрий,Вадимович
1,Меленчук,Павел,Викторович
1,Фурцев,Роберт,Владиславович
1,Мотовилов,Игорь,Русланович
1,Мурашкинцев,Аркадий,Филиппович
1,Урнов,Дамир,Денисович
1,Твердобрюхов,Кирилл,Валентинович
1,Тихменев,Дмитрий,Владиславович
1,Каленов,Ярослав,Михаилович
1,Степырев,Юрий,Владимирович
1,Гурьев,Дамир,Васильевич
1,Кузмик,Глеб,Тимурович
1,Семиврагов,Артур,Николаевич
1,Курсов,Никита,Вадимович
1,Сухобоков,Вадим,Владимирович
1,Родивонов,Эдуард,Михаилович
1,Андриадис,Николай,Вадимович
1,Ведин,Данил,Леонидович
1,Манилов,Роберт,Леонидович
1,Безух,Ефим,Ильич
1,Казовский,Ринат,Тимурович
1,Пашенин,Валерий,Витальевич
1,Лешуков,Степан,Григорьевич
1,Безушко,Роман,Ярославович
1,Гранькин,Ильдар,Вадимович
1,Нарайкин,Артур,Антонович
1,Богиев,Валентин,Рамилевич
1,Евтехеев,Денис,Артемович
1,Горланов,Тимур,Тимурович
1,Леваев,Александр,Григорьевич
1,Гордиюк,Данил,Аркадьевич
1,Ярышкин,Яков,Геннадьевич
1,Бараш,Евгений,Вадимович
1,Курчинский,Константин,Юрьевич
1,Кулемин,Сергей,Егорович
1,Поморцев,Глеб,Максимович
1,Слепов,Ильдар,Ринатович
1,Корнильцев,Сергей,Борисович
1,Нишанов,Петр,Альбертович
1,Косоговский,Валентин,Анатольевич
1,Филипьев,Борис,Евгеньевич
1,Фесенко,Алексей,Денисович
1,Бород,Артем,Сергеевич
1,Еремушкин,Леонид,Дамирович
1,Головушин,Алексей,Валерьевич
1,Степанин,Марсель,Кириллович
1,Губачевский,Георгий,Альбертович
1,Аллавердов,Рамиль,Степанович
1,Бронфман,Владислав,Леонидович
1,Вельтистов,Павел,Рамилевич
1,Гришанов,Ефим,Тимурович
1,Суханов,Глеб,Федорович
1,Башаков,Ильдар,Алексеевич
1,Шеповалов,Станислав,Маратович
1,Долбоносов,Аркадий,Марселевич
1,Максимец,Руслан,Витальевич
1,Акимченко,Антон,Кириллович
1,Арончик,Артем,Владиславович
1,Бузинов,Геннадий,Кириллович
1,Лукин,Илья,Витальевич
1,Быняев,Руслан,Петрович
1,Банкрутенко,Ильдар,Анатольевич
1,Абдуллабеков,Михаил,Леонидович
1,Аленин,Леонид,Денисович
1,Рачинский,Степан,Игоревич
1,Востроглазов,Григорий,Геннадьевич
1,Лукащук,Дамир,Данилович
1,Айдаров,Евгений,Игоревич
1,Дедухов,Глеб,Русланович
1,Шведерский,Сергей,Георгиевич
1,Атрахимович,Альберт,Артемович
1,Филилеев,Артур,Михаилович
1,Чураков,Артур,Владимирович
1,Касеинов,Вадим,Семенович
1,Хайруллин,Роман,Олегович
1,Губачевский,Алексей,Альбертович
1,Першеев,Ильдар,Денисович
1,Олешко,Илья,Станиславович
1,Лаговский,Семен,Валентинович
1,Гангаев,Никита,Александрович
1,Палагушин,Петр,Альбертович
1,Симончик,Игорь,Вадимович
1,Драчев,Георгий,Геннадьевич
1,Павельев,Павел,Егорович
1,Капланов,Иван,Витальевич
1,Артузов,Роберт,Владиславович
1,Балеевских,Глеб,Робертович
1,Марушевский,Геннадий,Вячеславович
1,Жирохов,Ринат,Аркадьевич
1,Молотов,Александр,Рамилевич
1,Мординов,Леонид,Егорович
1,Огуреев,Владимир,Эдуардович
1,Строев,Константин,Владимирович
1,Эрман,Артем,Эдуардович
1,Кунгуров,Игорь,Дмитриевич
1,Скляев,Константин,Валентинович
1,Клюжев,Никита,Ильдарович
1,Срубщиков,Борис,Семенович
1,Сибиряк,Иван,Леонидович
1,Бабич,Ярослав,Леонидович
1,Черкашенинов,Ильдар,Артурович
1,Головщиков,Андрей,Данилович
1,Бундин,Роберт,Эдуардович
1,Крывелев,Роберт,Анатольевич
1,Калюжин,Виктор,Кириллович
1,Хлопко,Федор,Аркадьевич
1,Михайлик,Станислав,Рамилевич
1,Логвинов,Кирилл,Тимурович
1,Гудочкин,Илья,Григорьевич
1,Шмаков,Марат,Григорьевич
1,Колдаков,Дмитрий,Тимофеевич
1,Новрузалиев,Олег,Эдуардович
1,Щепотин,Тимофей,Петрович
1,Юдочкин,Георгий,Иванович
1,Саяпов,Павел,Павлович
1,Кузоваткин,Иван,Максимович
1,Несин,Егор,Евгеньевич
1,Григорьев,Филипп,Яковлев
1,Боженко,Василий,Игоревич
1,Мудров,Альберт,Антонович
1,Холод,Егор,Ильдарович
1,Трифакин,Ярослав,Валентинович
1,Сикетин,Филипп,Анатольевич
1,Камозин,Роман,Григорьевич
1,Шуяков,Олег,Анатольевич
1,Никоноров,Артем,Ильич
1,Белянко,Николай,Яковлев
1,Отелбаев,Эдуард,Тимурович
1,Насрулаев,Аркадий,Антонович
1,Айнетдинов,Марсель,Артурович
1,Бауло,Игорь,Леонидович
1,Присовский,Виталий,Леонидович
1,Харламов,Филипп,Иванович
1,Шелупанов,Вячеслав,Владимирович
1,Булаткин,Артур,Эдуардович
1,Вуколов,Олег,Анатольевич
1,Федорищев,Семен,Петрович
1,Токтамысов,Дамир,Никитович
1,Раздаев,Федор,Рамилевич
1,Степищев,Филипп,Глебович
1,Шалин,Алексей,Сергеевич
1,Клепов,Никита,Андреевич
1,Ратушняк,Дмитрий,Янович
1,Кужавский,Владислав,Владиславович
1,Солянов,Егор,Денисович
1,Ребров,Павел,Андреевич
1,Сименеев,Ефим,Тимурович
1,Карпунин,Василий,Владимирович
1,Актуганов,Сергей,Борисович
1,Тюрев,Илья,Андреевич
1,Бараков,Григорий,Аркадьевич
1,Хорошков,Ринат,Рамилевич
1,Коряк,Радик,Вадимович
1,Палиенко,Вадим,Дмитриевич
1,Верюжский,Степан,Тимофеевич
1,Рамаданов,Иван,Константинович
1,Сосунов,Вадим,Алексеевич
1,Пестковский,Кирилл,Викторович
1,Шастов,Леонид,Анатольевич
1,Рудчук,Герман,Максимович
1,Андрус,Дмитрий,Эдуардович
1,Береговской,Глеб,Павлович
1,Ягунов,Глеб,Денисович
1,Адайкин,Георгий,Леонидович
1,Костолевский,Кирилл,Дмитриевич
1,Дегоев,Вадим,Федорович
1,Шуханов,Степан,Анатольевич
1,Ящуков,Евгений,Маратович
1,Барабулькин,Владислав,Вадимович
1,Биричев,Владимир,Игоревич
1,Тарабычин,Вячеслав,Федорович
1,Саркисов,Дмитрий,Владимирович
1,Заливкин,Вячеслав,Маратович
1,Трофимчук,Геннадий,Федорович
1,Дубенсков,Радик,Евгеньевич
1,Тарасовец,Александр,Маратович
1,Радулов,Степан,Ефимович
1,Синев,Рамиль,Тимурович
1,Гриньков,Сергей,Вадимович
1,Кудряков,Ян,Денисович
1,Мельков,Петр,Павлович
1,Шелупанов,Григорий,Артемович
1,Бакин,Петр,Денисович
1,Скопин,Егор,Павлович
1,Пивоев,Ринат,Дмитриевич
1,Акинфеев,Иван,Евгеньевич
1,Пыхов,Аркадий,Геннадьевич
1,Бабаев,Роман,Алексеевич
1,Галко,Анатолий,Степанович
1,Белозеров,Игорь,Станиславович
1,Неаполитанский,Евгений,Кириллович
1,Вахрушов,Владислав,Федорович
1,Жидконожкин,Григорий,Маратович
1,Темирев,Альберт,Анатольевич
1,Коротышев,Марсель,Русланович
1,Шипунов,Никита,Вячеславович
1,Городников,Владислав,Данилович
1,Павлихин,Герман,Вадимович
1,Племянников,Геннадий,Викторович
1,Курпишев,Евгений,Петрович
1,Дедегкаев,Яков,Борисович
1,Шатунин,Валентин,Денисович
1,Тельнов,Ильдар,Ринатович
1,Жабрук,Виталий,Романович
1,Какуркин,Николай,Денисович
1,Боярчук,Ильдар,Альбертович
1,Лабенский,Роман,Геннадьевич
1,Шенаев,Глеб,Михаилович
1,Лаптенок,Эдуард,Эдуардович
1,Бучок,Дамир,Григорьевич
1,Лугин,Олег,Георгиевич
1,Артемьев,Игорь,Игоревич
1,Ласковенков,Виктор,Александрович
1,Быстроглазов,Константин,Витальевич
1,Горячко,Эдуард,Федорович
1,Кивалов,Аркадий,Денисович
1,Кочетов,Константин,Валерьевич
1,Тарасенко,Данил,Ильич
1,Зернов,Данил,Егорович
1,Гричухин,Марат,Сергеевич
1,Ржевитинов,Илья,Игоревич
1,Псарев,Максим,Ярославович
1,Котляревский,Альберт,Васильевич
1,Котовский,Владимир,Робертович
1,Сенько,Виталий,Павлович
1,Пенгитов,Михаил,Русланович
1,Ляско,Андрей,Григорьевич
1,Борейчук,Роман,Ринатович
1,Скосырев,Борис,Артурович
1,Белогрудь,Дмитрий,Рамилевич
1,Брейкин,Альберт,Владимирович
1,Краснопольский,Ян,Сергеевич
1,Корабельщиков,Дмитрий,Степанович
1,Решетилов,Станислав,Артемович
1,Кирюхин,Ильдар,Глебович
1,Балабанов,Антон,Янович
1,Плясов,Андрей,Альбертович
1,Вохменцев,Виталий,Сергеевич
1,Глазко,Филипп,Яковлев
1,Беленикин,Альберт,Данилович
1,Эльяшевич,Ярослав,Евгеньевич
1,Бароев,Евгений,Дмитриевич
1,Зябкин,Станислав,Сергеевич
1,Хамитов,Иван,Николаевич
1,Шулятьев,Тимофей,Валентинович
1,Вороной,Яков,Владимирович
1,Васючков,Станислав,Германович
1,Голопятин,Антон,Леонидович
1,Балджи,Андрей,Иванович
1,Арнольд,Василий,Ильич
1,Кропанцев,Анатолий,Ильич
1,Ядов,Вадим,Юрьевич
1,Гоцманов,Антон,Романович
1,Балог,Тимофей,Владимирович
1,Тягин,Роберт,Артурович
1,Сочинский,Ярослав,Антонович
1,Брызгунов,Виктор,Эдуардович
1,Мирохин,Иван,Александрович
1,Ачерян,Леонид,Антонович
1,Олтаржевский,Михаил,Вячеславович
1,Багманов,Андрей,Глебович
1,Подколзин,Эдуард,Игоревич
1,Непоседов,Василий,Максимович
1,Елфимов,Геннадий,Егорович
1,Первушин,Анатолий,Васильевич
1,Стамов,Ян,Васильевич
1,Хайдуров,Вадим,Дмитриевич
1,Стуков,Олег,Федорович
1,Тарарыкин,Ринат,Иванович
1,Челпанов,Геннадий,Аркадьевич
1,Барак,Данил,Валентинович
1,Кривощеков,Ян,Аркадьевич
1,Мухамедкулов,Ильдар,Георгиевич
1,Миллионщиков,Сергей,Маратович
1,Музафаров,Денис,Николаевич
1,Бобрович,Артем,Никитович
1,Зиновичев,Тимур,Русланович
1,Федотчев,Марат,Иванович
1,Сенаторов,Герман,Витальевич
1,Бзаев,Борис,Ильич
1,Гавшев,Виталий,Филиппович
1,Корзин,Олег,Тимурович
1,Мясников,Марат,Денисович
1,Шевырев,Артем,Витальевич
1,Крутпорох,Андрей,Никитович
1,Бараненко,Виктор,Ринатович
1,Тишеев,Леонид,Никитович
1,Нечепуренко,Глеб,Владимирович
1,Азадовский,Александр,Леонидович
1,Габидулин,Борис,Петрович
1,Филичкин,Денис,Юрьевич
1,Славянский,Семен,Марселевич
1,Пашанов,Глеб,Викторович
1,Пилюк,Валентин,Глебович
1,Буток,Марсель,Денисович
1,Штыков,Петр,Михаилович
1,Поддубский,Егор,Валерьевич
1,Володькин,Ярослав,Кириллович
1,Лярский,Александр,Кириллович
1,Арзубов,Владимир,Павлович
1,Фатюшин,Алексей,Антонович
1,Супрунчик,Петр,Федорович
1,Житарев,Вячеслав,Владимирович
1,Офросинов,Владимир,Дмитриевич
1,Домницкий,Ефим,Альбертович
1,Драчевский,Георгий,Ринатович
1,Станин,Федор,Валерьевич
1,Белкин,Борис,Валентинович
1,Светов,Марсель,Валентинович
1,Буряк,Олег,Евгеньевич
1,Ракин,Егор,Егорович
1,Халько,Вадим,Вадимович
1,Валишин,Игорь,Егорович
1,Бернгард,Анатолий,Павлович
1,Орликов,Яков,Вадимович
1,Пиянин,Владислав,Ефимович
1,Живяго,Валерий,Григорьевич
1,Мынкин,Георгий,Игоревич
1,Сребрянский,Ян,Артемович
1,Кучинский,Валентин,Русланович
1,Дружников,Антон,Витальевич
1,Удовенко,Андрей,Денисович
1,Матюшов,Яков,Тимурович
1,Зуйков,Аркадий,Юрьевич
1,Анцыфиров,Никита,Федорович
1,Бутрик,Виталий,Вадимович
1,Семернев,Леонид,Григорьевич
1,Алексиков,Аркадий,Олегович
1,Накоряков,Руслан,Никитович
1,Садаков,Олег,Сергеевич
1,Кузьминский,Ян,Федорович
1,Скржипковский,Рамиль,Яковлев
1,Бажев,Николай,Филиппович
1,Маленко,Александр,Александрович
1,Мухарямов,Андрей,Николаевич
1,Чиглинцев,Владислав,Федорович
1,Левчик,Эдуард,Ефимович
1,Жеребков,Яков,Леонидович
1,Райман,Игорь,Григорьевич
1,Рядинский,Борис,Альбертович
1,Лешуков,Максим,Алексеевич
1,Исайчев,Владислав,Ринатович
1,Жевнин,Глеб,Дмитриевич
1,Галенко,Герман,Дмитриевич
1,Глузский,Виталий,Иванович
1,Кандрашин,Анатолий,Ринатович
1,Чернобай,Альберт,Павлович
1,Гурин,Дамир,Никитович
1,Шуйский,Дамир,Артурович
1,Буторин,Александр,Владиславович
1,Воронов,Иван,Степанович
1,Гитлин,Станислав,Артемович
1,Агейчик,Валентин,Ефимович
1,Костенюк,Дмитрий,Романович
1,Шумцов,Павел,Александрович
1,Жеребятев,Марат,Андреевич
1,Базаревский,Дмитрий,Артемович
1,Файзуллин,Петр,Иванович
1,Колосовский,Кирилл,Станиславович
1,Носовский,Ринат,Степанович
1,Черномор,Ярослав,Германович
1,Семеников,Владимир,Валентинович
1,Фотов,Владислав,Григорьевич
1,Вороницын,Павел,Романович
1,Ажгибесов,Кирилл,Ефимович
1,Алишев,Степан,Анатольевич
1,Баровский,Юрий,Иванович
1,Бучко,Петр,Валентинович
1,Скоробогатый,Артур,Радикович
1,Мызников,Олег,Ефимович
1,Калябин,Иван,Егорович
1,Страшинин,Борис,Павлович
1,Сухачев,Эдуард,Юрьевич
1,Воробьев,Валентин,Никитович
1,Адоратский,Валерий,Валентинович
1,Луков,Виктор,Альбертович
1,Непотягов,Герман,Янович
1,Авласович,Илья,Павлович
1,Британишский,Василий,Семенович
1,Ракшин,Рамиль,Иванович
1,Иванский,Артем,Яковлев
1,Чашников,Семен,Артемович
1,Мельшин,Петр,Альбертович
1,Лапыгин,Юрий,Васильевич
1,Бараборкин,Яков,Данилович
1,Гончар,Евгений,Марселевич
1,Дмитревской,Ян,Эдуардович
1,Грицанов,Ян,Егорович
1,Нечипорук,Вадим,Николаевич
1,Фомов,Анатолий,Данилович
1,Глухенький,Дмитрий,Ильдарович
1,Васютин,Виктор,Германович
1,Жебелев,Радик,Алексеевич
1,Искужин,Валерий,Яковлев
1,Пачев,Вячеслав,Филиппович
1,Макиенко,Константин,Григорьевич
1,Паромщиков,Степан,Германович
1,Марев,Артур,Георгиевич
1,Альмяшев,Аркадий,Иванович
1,Потапов,Тимофей,Ильич
1,Абанькин,Артур,Эдуардович
1,Мезенцов,Григорий,Вадимович
1,Шабалдин,Олег,Тимурович
1,Шулятиков,Анатолий,Андреевич
1,Чепоров,Марсель,Григорьевич
1,Тихвинский,Максим,Федорович
1,Балтак,Вадим,Ринатович
1,Корсунский,Никита,Тимурович
1,Тимачев,Марат,Янович
1,Буряк,Василий,Станиславович
1,Темных,Василий,Янович
1,Семяхов,Петр,Германович
1,Шариков,Кирилл,Александрович
1,Сухарников,Дамир,Анатольевич
1,Хвостунов,Валерий,Олегович
1,Бимирзин,Эдуард,Владиславович
1,Апанюков,Алексей,Дмитриевич
1,Цылов,Егор,Андреевич
1,Славин,Валентин,Николаевич
1,Сахно,Дамир,Степанович
1,Медведев,Артем,Андреевич
1,Лунтовский,Роман,Робертович
1,Церасский,Марат,Геннадьевич
1,Чарушкин,Герман,Олегович
1,Яблуковский,Артем,Тимофеевич
1,Непеин,Владимир,Русланович
1,Хоменко,Георгий,Семенович
1,Бухвальд,Артем,Владимирович
1,Горелик,Руслан,Евгеньевич
1,Рябкин,Ефим,Семенович
1,Хайдуров,Яков,Филиппович
1,Штыриков,Евгений,Павлович
1,Прудников,Виталий,Геннадьевич
1,Миланов,Анатолий,Михаилович
1,Погореляк,Федор,Рамилевич
1,Легасов,Егор,Ярославович
1,Гмарь,Виталий,Геннадьевич
1,Ашурмамадов,Егор,Дмитриевич
1,Жемчужников,Радик,Васильевич
1,Ухалин,Никита,Николаевич
1,Паюсов,Дмитрий,Михаилович
1,Манеркин,Владислав,Анатольевич
1,Бугаевский,Тимур,Геннадьевич
1,Макоедов,Руслан,Глебович
1,Бахвалов,Данил,Владимирович
1,Шляпников,Степан,Петрович
1,Шведчиков,Артем,Эдуардович
1,Белоусенко,Валерий,Данилович
1,Нефедов,Илья,Аркадьевич
1,Троняев,Вячеслав,Рамилевич
1,Колодников,Степан,Вадимович
1,Алтынников,Григорий,Евгеньевич
1,Балкебаев,Кирилл,Георгиевич
1,Керсновский,Алексей,Артемович
1,Толоконников,Артур,Ильдарович
1,Сидяк,Ян,Григорьевич
1,Соколин,Семен,Иванович
1,Роборовский,Эдуард,Николаевич
1,Адамян,Иван,Валентинович
1,Башмаков,Виктор,Ефимович
1,Щегольков,Михаил,Германович
1,Авсейкин,Олег,Олегович
1,Крупин,Роберт,Васильевич
1,Тулумбасов,Вадим,Витальевич
1,Юрмегов,Тимур,Дамирович
1,Ивин,Тимур,Григорьевич
1,Суринов,Максим,Вадимович
1,Брынзин,Василий,Аркадьевич
1,Шнуров,Виктор,Максимович
1,Акинчев,Глеб,Русланович
1,Мазиков,Валерий,Евгеньевич
1,Цыгуров,Василий,Аркадьевич
1,Лукоянов,Михаил,Степанович
1,Слепых,Данил,Александрович
1,Сибагатов,Владимир,Федорович
1,Дехтерев,Марат,Романович
1,Савинков,Герман,Григорьевич
1,Чалых,Ильдар,Леонидович
1,Разинков,Глеб,Русланович
1,Макаринцев,Дамир,Артурович
1,Дахнов,Степан,Георгиевич
1,Тарантов,Николай,Ильдарович
1,Шагалович,Борис,Борисович
1,Слонимский,Сергей,Кириллович
1,Станчук,Ринат,Романович
1,Попиков,Альберт,Данилович
1,Кельдюшов,Павел,Петрович
1,Тыронов,Игорь,Васильевич
1,Ермак,Денис,Константинович
1,Беднарский,Тимур,Филиппович
1,Вьюниченко,Валентин,Романович
1,Оспешинский,Федор,Евгеньевич
1,Ахеджак,Радик,Леонидович
1,Василишин,Дмитрий,Денисович
1,Тухтамышев,Артем,Борисович
1,Негробов,Радик,Валерьевич
1,Холодилин,Артем,Тимофеевич
1,Пудров,Тимофей,Дамирович
1,Чудинов,Валерий,Робертович
1,Каллиников,Георгий,Николаевич
1,Дмитро,Константин,Станиславович
1,Бабуркин,Аркадий,Рамилевич
1,Мойсеенко,Валентин,Ефимович
1,Бакунович,Денис,Тимофеевич
1,Макарчик,Борис,Ярославович
1,Ривес,Олег,Радикович
1,Черноштан,Марат,Сергеевич
1,Сметанщиков,Василий,Павлович
1,Арисов,Альберт,Тимофеевич
1,Шайтанов,Денис,Валентинович
1,Майоров,Петр,Рамилевич
1,Епишкин,Роман,Станиславович
1,Артанов,Геннадий,Александрович
1,Муслин,Данил,Денисович
1,Климычев,Тимофей,Константинович
1,Кижаев,Ильдар,Витальевич
1,Басенков,Герман,Сергеевич
1,Заводов,Александр,Альбертович
1,Пузырьков,Андрей,Андреевич
1,Манташев,Тимур,Иванович
1,Сивохин,Данил,Валерьевич
1,Князев,Петр,Янович
1,Войновский,Роберт,Вячеславович
1,Гаврилюк,Вячеслав,Николаевич
1,Самборский,Павел,Кириллович
1,Бутковский,Андрей,Альбертович
1,Крупняков,Валентин,Дамирович
1,Горбулин,Артем,Дамирович
1,Дрожжин,Радик,Егорович
1,Капинос,Виктор,Глебович
1,Юхананов,Тимур,Радикович
1,Анулов,Геннадий,Дмитриевич
1,Акриш,Илья,Валентинович
1,Дзахсоров,Роман,Ефимович
1,Курило,Евгений,Борисович
1,Марунин,Михаил,Викторович
1,Ноаковский,Андрей,Денисович
1,Маратов,Глеб,Ильдарович
1,Данилевский,Никита,Витальевич
1,Тернов,Алексей,Егорович
1,Афоничкин,Тимур,Глебович
1,Хасин,Эдуард,Никитович
